league;season;matchweek;homeTeam;awayTeam;homeGoals;awayGoals;date;hour;referee;homeLineup;awayLineup;homePossession;awayPossession;homePassingAccuracy;awayPassingAccuracy;homeShotsonTarget;awayShotsonTarget;homeSaves;awaySaves;homeFouls;awayFouls;homeCorners;awayCorners;homeCrosses;awayCrosses;homeTouches;awayTouches;homeTackles;awayTackles;homeInterceptions;awayInterceptions;homeAerialsWon;awayAerialsWon;homeClearances;awayClearances;homeOffsides;awayOffsides;homeGoalKicks;awayGoalKicks;homeThrowIns;awayThrowIns;homeLongBalls;awayLongBalls
SerieA;23_24;9;Bologna;Frosinone;2;1;2023-10-22;15:00;Daniele Doveri (Referee);Bologna (4-2-3-1);Frosinone (4-2-3-1);55%;45%;82%;80%;50%;36%;100%;66%;10;14;4;5;14;13;612;522;23;20;5;6;8;10;16;12;1;1;14;5;18;22;47;47
SerieA;23_24;9;Salernitana;Cagliari;2;2;2023-10-22;15:00;Daniele Chiffi (Referee);Salernitana (4-3-2-1);Cagliari (4-3-1-2);49%;51%;73%;75%;8%;46%;66%;0%;11;12;8;5;23;23;475;490;13;16;4;7;10;13;20;20;1;3;5;11;23;21;74;76
SerieA;23_24;9;Atalanta;Genoa;2;0;2023-10-22;18:00;Livio Marinelli (Referee);Atalanta (3-4-3);Genoa (3-5-2);56%;44%;83%;74%;62%;27%;100%;75%;17;9;8;4;15;17;697;564;10;20;11;6;29;26;14;13;1;1;9;7;13;24;67;77
SerieA;23_24;9;Milan;Juventus;0;1;2023-10-22;20:45;Maurizio Mariani (Referee);Milan (4-2-3-1);Juventus (3-5-2);52%;48%;79%;82%;14%;29%;75%;100%;12;16;6;3;33;24;590;588;20;16;3;5;21;14;33;35;0;2;9;5;21;23;63;57
SerieA;23_24;9;Udinese;Lecce;1;1;2023-10-23;18:30;Paride Tremolada (Referee);Udinese (3-5-2);Lecce (4-3-3);46%;54%;69%;76%;36%;8%;0%;100%;11;15;2;7;14;22;486;573;17;18;3;14;13;15;25;15;2;2;6;4;33;21;62;65
SerieA;23_24;9;Fiorentina;Empoli;0;2;2023-10-23;20:45;Federico Dionisi (Referee);Fiorentina (4-2-3-1);Empoli (4-3-2-1);71%;29%;83%;65%;37%;43%;33%;100%;13;17;13;3;44;8;771;409;14;21;5;5;23;11;5;46;2;5;3;9;29;19;92;62
SerieA;23_24;10;Genoa;Salernitana;1;0;2023-10-27;20:45;Davide Massa (Referee);Genoa (3-5-2);Salernitana (3-4-3);51%;49%;76%;76%;50%;29%;100%;75%;11;19;7;0;15;10;555;541;20;14;13;15;19;7;12;12;2;4;9;7;18;25;74;58
SerieA;23_24;10;Sassuolo;Bologna;1;1;2023-10-28;15:00;Antonio Giua (Referee);Sassuolo (4-2-3-1);Bologna (4-2-3-1);41%;59%;80%;86%;31%;44%;75%;80%;11;10;6;2;23;7;546;739;14;25;7;8;2;4;8;18;1;2;4;11;19;13;71;46
SerieA;23_24;10;Lecce;Torino;0;1;2023-10-28;18:00;Gianluca Aureliano (Referee);Lecce (4-3-3);Torino (3-5-2);49%;51%;77%;79%;55%;20%;50%;100%;17;19;3;0;23;16;546;597;9;17;5;5;15;21;11;29;1;0;11;7;25;16;81;60
SerieA;23_24;10;Juventus;Hellas Verona;1;0;2023-10-28;20:45;Ermanno Feliciani (Referee);Juventus (3-5-2);Hellas Verona (3-4-1-2);54%;46%;85%;81%;17%;14%;100%;80%;13;8;5;1;22;16;649;556;9;14;8;11;13;14;10;25;1;1;7;20;15;17;51;70
SerieA;23_24;10;Cagliari;Frosinone;4;3;2023-10-29;12:30;Luca Pairetto (Referee);Cagliari (4-3-2-1);Frosinone (4-2-3-1);47%;53%;73%;79%;22%;50%;40%;20%;8;7;5;7;35;12;565;646;13;12;8;6;22;22;17;43;1;3;6;16;19;19;59;69
SerieA;23_24;10;Monza;Udinese;1;1;2023-10-29;15:00;Alessandro Prontera (Referee);Monza (3-4-3);Udinese (3-5-2);61%;39%;85%;83%;40%;30%;66%;75%;15;11;10;3;29;12;713;515;18;13;6;7;10;17;13;34;2;0;7;3;20;10;56;44
SerieA;23_24;10;Internazionale;Roma;1;0;2023-10-29;18:00;Fabio Maresca (Referee);Inter (3-5-2);Roma (3-5-2);63%;37%;84%;78%;16%;33%;100%;66%;14;9;8;0;35;7;718;471;17;11;7;5;12;15;8;33;1;1;2;12;21;12;62;65
SerieA;23_24;10;Napoli;Milan;2;2;2023-10-29;20:45;Daniele Orsato (Referee);Napoli (4-3-3);Milan (4-3-3);48%;52%;83%;84%;24%;30%;66%;50%;14;10;6;4;16;17;572;630;15;19;14;14;5;10;11;13;0;0;7;10;18;18;62;50
SerieA;23_24;10;Empoli;Atalanta;0;3;2023-10-30;18:30;Luca Massimi (Referee);Empoli (4-3-3);Atalanta (3-4-1-2);44%;56%;75%;83%;22%;33%;50%;100%;10;13;3;6;16;19;583;708;21;14;11;9;2;13;14;13;3;1;9;7;31;25;54;79
SerieA;23_24;10;Lazio;Fiorentina;1;0;2023-10-30;20:45;Matteo Marcenaro (Referee);Lazio (4-3-3);Fiorentina (4-2-3-1);48%;52%;81%;83%;30%;56%;100%;100%;12;17;0;4;9;13;580;645;17;19;4;3;14;8;14;9;5;0;6;9;24;18;58;80
SerieA;23_24;11;Bologna;Lazio;1;0;2023-11-03;20:45;Federico La Penna (Referee);Bologna (4-2-3-1);Lazio (4-3-3);50%;50%;84%;86%;33%;9%;100%;50%;12;8;2;6;10;18;697;696;15;16;16;5;4;8;18;17;0;0;11;4;30;21;50;44
SerieA;23_24;11;Salernitana;Napoli;0;2;2023-11-04;15:00;Antonio Rapuano (Referee);Salernitana (4-2-3-1);Napoli (4-3-3);42%;58%;73%;83%;30%;38%;75%;100%;15;10;8;9;23;13;528;711;20;24;9;4;11;21;19;23;3;5;11;5;19;14;54;47
SerieA;23_24;11;Atalanta;Internazionale;1;2;2023-11-04;18:00;Simone Sozza (Referee);Atalanta (3-4-1-2);Inter (3-5-2);54%;46%;81%;79%;29%;33%;66%;75%;13;9;6;1;27;14;680;603;12;21;14;10;18;16;11;24;2;2;6;9;17;16;63;69
SerieA;23_24;11;Milan;Udinese;0;1;2023-11-04;20:45;Juan Sacchi (Referee);Milan (4-4-2);Udinese (3-5-2);72%;28%;85%;70%;29%;9%;100%;100%;12;14;11;5;36;12;714;382;17;14;6;7;6;18;12;33;1;4;8;8;24;12;56;56
SerieA;23_24;11;Hellas Verona;Monza;1;3;2023-11-05;12:30;Giuseppe Collu (Referee);Hellas Verona (3-5-2);Monza (4-2-3-1);46%;54%;83%;84%;31%;50%;50%;80%;6;12;2;6;27;14;572;637;15;13;3;5;11;8;17;19;0;0;5;11;18;17;63;71
SerieA;23_24;11;Cagliari;Genoa;2;1;2023-11-05;15:00;Marco Guida (Referee);Cagliari (4-3-1-2);Genoa (3-5-2);42%;58%;70%;77%;33%;25%;50%;50%;14;11;1;1;14;18;516;658;13;13;10;11;11;21;29;8;5;2;9;8;28;20;88;72
SerieA;23_24;11;Roma;Lecce;2;1;2023-11-05;18:00;Andrea Colombo (Referee);Roma (3-4-3);Lecce (4-3-3);60%;40%;78%;74%;29%;27%;75%;50%;18;11;5;2;23;10;670;522;21;15;6;14;17;11;17;35;1;2;7;7;22;25;47;67
SerieA;23_24;11;Fiorentina;Juventus;0;1;2023-11-05;20:45;Daniele Chiffi (Referee);Fiorentina (4-2-3-1);Juventus (3-5-2);68%;32%;78%;67%;16%;75%;66%;100%;12;21;9;2;50;6;727;446;13;17;4;9;15;20;7;67;1;4;1;14;24;15;74;72
SerieA;23_24;11;Frosinone;Empoli;2;1;2023-11-06;18:30;Gianluca Manganiello (Referee);Frosinone (4-2-3-1);Empoli (4-3-3);64%;36%;84%;72%;29%;20%;50%;60%;7;9;9;2;28;9;745;478;10;29;6;12;16;13;12;26;2;1;7;13;29;15;61;53
SerieA;23_24;11;Torino;Sassuolo;2;1;2023-11-06;20:45;Maria Sole Ferrieri Caputi (Referee);Torino (3-4-1-2);Sassuolo (4-2-3-1);54%;46%;80%;76%;43%;40%;50%;77%;9;6;9;2;29;11;629;544;14;14;12;6;12;8;12;20;3;0;3;9;29;23;67;72
SerieA;23_24;12;Sassuolo;Salernitana;2;2;2023-11-10;18:30;Davide Ghersini (Referee);Sassuolo (4-2-3-1);Salernitana (4-3-3);63%;37%;79%;72%;31%;22%;0%;77%;12;14;11;0;34;7;778;552;21;21;7;11;12;27;9;46;1;3;5;14;23;24;84;59
SerieA;23_24;12;Genoa;Hellas Verona;1;0;2023-11-10;20:45;Daniele Orsato (Referee);Genoa (3-5-2);Hellas Verona (3-5-2);50%;50%;74%;76%;31%;14%;100%;80%;9;16;6;7;13;15;518;523;17;11;4;5;13;23;22;23;2;1;8;7;26;21;82;76
SerieA;23_24;12;Lecce;Milan;2;2;2023-11-11;15:00;Rosario Abisso (Referee);Lecce (4-3-3);Milan (4-2-3-1);45%;55%;79%;81%;36%;60%;66%;60%;12;16;3;1;16;11;509;583;21;19;4;13;9;12;16;15;0;0;9;13;23;18;57;53
SerieA;23_24;12;Juventus;Cagliari;2;1;2023-11-11;18:00;Marco Piccinini (Referee);Juventus (3-5-2);Cagliari (4-2-3-1);49%;51%;76%;80%;22%;18%;50%;50%;14;8;12;4;32;19;538;568;12;13;6;12;18;11;17;24;2;1;10;12;25;21;69;70
SerieA;23_24;12;Monza;Torino;1;1;2023-11-11;20:45;Daniele Doveri (Referee);Monza (3-4-3);Torino (3-5-2);44%;56%;82%;87%;42%;42%;80%;80%;11;11;3;1;15;16;537;664;11;11;6;15;12;11;13;11;0;1;10;7;14;12;54;41
SerieA;23_24;12;Napoli;Empoli;0;1;2023-11-12;12:30;Alessandro Prontera (Referee);Napoli (4-2-3-1);Empoli (4-3-3);65%;35%;84%;73%;39%;38%;66%;100%;11;13;8;3;30;15;751;470;18;23;10;14;12;16;12;24;1;5;5;10;32;23;83;60
SerieA;23_24;12;Fiorentina;Bologna;2;1;2023-11-12;15:00;Fabio Maresca (Referee);Fiorentina (4-2-3-1);Bologna (4-2-3-1);39%;61%;75%;81%;27%;30%;100%;66%;18;16;0;3;5;15;455;634;19;22;6;2;14;13;15;11;1;2;6;5;13;24;62;55
SerieA;23_24;12;Udinese;Atalanta;1;1;2023-11-12;15:00;Gianluca Aureliano (Referee);Udinese (3-5-1-1);Atalanta (3-4-1-2);35%;65%;69%;84%;33%;25%;50%;75%;14;13;7;7;14;21;456;741;30;26;7;10;12;13;21;20;1;2;6;3;19;23;61;75
SerieA;23_24;12;Lazio;Roma;0;0;2023-11-12;18:00;Davide Massa (Referee);Lazio (4-3-3);Roma (3-5-1-1);49%;51%;85%;85%;29%;13%;100%;100%;12;13;4;1;14;14;614;624;9;18;5;3;10;9;18;13;0;2;6;6;10;15;60;61
SerieA;23_24;12;Internazionale;Frosinone;2;0;2023-11-12;20:45;Federico Dionisi (Referee);Inter (3-5-2);Frosinone (3-4-3);47%;53%;83%;86%;25%;25%;100%;80%;7;16;9;4;18;13;637;687;20;9;9;7;11;7;19;16;0;0;3;12;18;20;65;55
SerieA;23_24;13;Salernitana;Lazio;2;1;2023-11-25;15:00;Alessandro Prontera (Referee);Salernitana (3-4-3);Lazio (4-3-3);38%;62%;72%;83%;46%;8%;100%;66%;11;12;4;9;15;19;459;684;14;21;6;14;11;10;25;12;2;0;11;6;17;28;61;63
SerieA;23_24;13;Atalanta;Napoli;1;2;2023-11-25;18:00;Maurizio Mariani (Referee);Atalanta (3-4-1-2);Napoli (4-3-3);44%;56%;77%;81%;31%;27%;33%;80%;15;9;5;4;21;11;569;688;13;15;12;6;17;13;16;25;4;3;7;5;28;32;57;72
SerieA;23_24;13;Milan;Fiorentina;1;0;2023-11-25;20:45;Marco Di Bello (Referee);Milan (4-2-3-1);Fiorentina (4-2-3-1);42%;58%;77%;80%;63%;19%;100%;100%;9;10;3;11;7;30;538;683;24;15;5;9;14;16;28;23;1;1;8;2;22;23;51;93
SerieA;23_24;13;Cagliari;Monza;1;1;2023-11-26;12:30;Matteo Marchetti (Referee);Cagliari (3-4-3);Monza (3-4-3);39%;61%;74%;83%;29%;33%;75%;80%;10;15;10;11;33;23;468;677;13;15;5;3;12;13;19;28;1;2;3;7;10;13;72;52
SerieA;23_24;13;Frosinone;Genoa;2;1;2023-11-26;15:00;Luca Zufferli (Referee);Frosinone (4-2-3-1);Genoa (3-5-2);57%;43%;84%;78%;56%;23%;66%;60%;5;14;4;2;6;18;710;545;17;18;3;11;7;12;15;10;1;0;10;6;22;18;50;82
SerieA;23_24;13;Empoli;Sassuolo;3;4;2023-11-26;15:00;Simone Sozza (Referee);Empoli (4-3-3);Sassuolo (4-2-3-1);49%;51%;76%;74%;60%;50%;62%;83%;20;15;6;5;20;16;525;526;17;14;6;5;11;20;19;19;4;0;6;2;18;22;64;77
SerieA;23_24;13;Roma;Udinese;3;1;2023-11-26;18:00;Luca Massimi (Referee);Roma (3-5-2);Udinese (3-5-2);64%;36%;86%;82%;42%;33%;50%;40%;8;15;7;1;21;6;685;441;25;12;3;2;7;7;7;19;3;1;8;9;17;10;59;38
SerieA;23_24;13;Juventus;Internazionale;1;1;2023-11-26;20:45;Marco Guida (Referee);Juventus (5-3-2);Inter (3-5-2);35%;65%;81%;90%;25%;50%;75%;0%;12;13;1;0;10;9;501;867;11;13;12;11;5;11;9;11;0;0;6;5;16;22;74;52
SerieA;23_24;13;Hellas Verona;Lecce;2;2;2023-11-27;18:30;Federico La Penna (Referee);Hellas Verona (4-2-3-1);Lecce (4-3-3);49%;51%;69%;75%;58%;36%;60%;81%;15;17;4;2;22;10;501;551;13;14;7;13;34;16;13;16;0;1;8;9;24;22;72;78
SerieA;23_24;13;Bologna;Torino;2;0;2023-11-27;20:45;Andrea Colombo (Referee);Bologna (4-2-3-1);Torino (3-4-1-2);48%;52%;75%;78%;15%;33%;100%;0%;16;15;3;2;18;8;540;579;12;17;9;7;13;13;13;16;1;2;7;9;23;25;72;58
SerieA;23_24;14;Monza;Juventus;1;2;2023-12-01;20:45;Michael Fabbri (Referee);Monza (3-4-3);Juventus (3-5-2);65%;35%;88%;82%;6%;35%;66%;0%;12;8;7;3;23;12;814;495;15;15;6;6;12;16;13;30;0;2;6;8;20;15;68;67
SerieA;23_24;14;Genoa;Empoli;1;1;2023-12-02;15:00;Gianluca Aureliano (Referee);Genoa (3-5-2);Empoli (4-3-3);50%;50%;70%;73%;5%;11%;0%;0%;15;19;5;3;28;16;548;567;17;14;13;6;30;14;17;35;3;0;6;11;22;34;81;73
SerieA;23_24;14;Lazio;Cagliari;1;0;2023-12-02;18:00;Federico Dionisi (Referee);Lazio (4-3-3);Cagliari (3-4-1-2);60%;40%;86%;76%;50%;22%;100%;80%;11;12;4;3;16;20;753;533;16;11;14;15;8;8;18;19;5;1;9;6;15;28;58;74
SerieA;23_24;14;Milan;Frosinone;3;1;2023-12-02;20:45;Matteo Marchetti (Referee);Milan (4-3-3);Frosinone (4-2-3-1);47%;53%;83%;85%;30%;20%;66%;0%;11;6;6;7;20;6;552;597;24;21;10;5;6;7;10;12;1;0;10;8;17;22;54;43
SerieA;23_24;14;Lecce;Bologna;1;1;2023-12-03;12:30;Daniele Doveri (Referee);Lecce (4-2-3-1);Bologna (4-3-3);43%;57%;78%;84%;23%;36%;75%;100%;12;18;6;3;22;10;541;697;21;22;5;7;12;12;16;32;0;1;10;6;20;15;73;44
SerieA;23_24;14;Udinese;Hellas Verona;3;3;2023-12-03;15:00;Fabio Maresca (Referee);Udinese (3-5-1-1);Hellas Verona (4-2-3-1);40%;60%;66%;71%;50%;25%;33%;50%;16;13;5;3;14;30;466;586;20;21;12;7;20;20;39;16;3;1;6;6;18;27;77;76
SerieA;23_24;14;Fiorentina;Salernitana;3;0;2023-12-03;15:00;Paride Tremolada (Referee);Fiorentina (4-2-3-1);Salernitana (3-4-3);57%;43%;84%;78%;38%;9%;100%;75%;13;12;3;2;13;9;668;523;31;12;8;7;12;13;9;18;2;3;3;7;16;17;76;54
SerieA;23_24;14;Sassuolo;Roma;1;2;2023-12-03;18:00;Matteo Marcenaro (Referee);Sassuolo (4-2-3-1);Roma (3-5-2);34%;66%;79%;85%;25%;43%;83%;50%;10;11;1;11;8;31;445;748;6;10;6;7;8;11;38;12;0;2;8;6;11;16;56;69
SerieA;23_24;14;Napoli;Internazionale;0;3;2023-12-03;20:45;Davide Massa (Referee);Napoli (4-3-3);Inter (3-5-2);57%;43%;85%;79%;27%;36%;25%;100%;2;13;6;4;18;18;687;539;13;19;8;8;13;14;25;19;3;4;7;9;24;14;74;52
SerieA;23_24;14;Torino;Atalanta;3;0;2023-12-04;20:45;Marco Piccinini (Referee);Torino (3-4-1-2);Atalanta (3-4-3);54%;46%;78%;77%;50%;40%;100%;50%;12;14;4;3;17;17;627;557;14;16;10;13;11;15;20;20;2;1;3;5;20;18;65;54
SerieA;23_24;15;Juventus;Napoli;1;0;2023-12-08;20:45;Daniele Orsato (Referee);Juventus (3-5-2);Napoli (4-3-3);34%;66%;69%;85%;18%;8%;100%;50%;11;12;3;6;14;29;434;750;25;14;5;4;15;16;23;22;2;2;11;8;20;28;77;76
SerieA;23_24;15;Hellas Verona;Lazio;1;1;2023-12-09;15:00;Giovanni Ayroldi (Referee);Hellas Verona (4-2-3-1);Lazio (4-3-3);29%;71%;63%;82%;20%;36%;80%;0%;16;11;1;7;14;20;387;753;17;14;9;1;10;13;24;11;2;2;8;4;15;26;81;70
SerieA;23_24;15;Atalanta;Milan;3;2;2023-12-09;18:00;Federico La Penna (Referee);Atalanta (3-4-1-2);Milan (4-3-3);42%;58%;82%;86%;37%;21%;33%;57%;11;11;6;4;18;14;557;730;16;17;9;10;15;5;16;13;1;1;8;7;10;21;64;65
SerieA;23_24;15;Internazionale;Udinese;4;0;2023-12-09;20:45;Marco Di Bello (Referee);Inter (3-5-2);Udinese (3-5-1-1);74%;26%;91%;80%;44%;9%;100%;57%;9;6;6;1;32;5;930;421;18;15;6;11;7;3;6;28;1;1;6;7;17;14;63;35
SerieA;23_24;15;Frosinone;Torino;0;0;2023-12-10;12:30;Luca Massimi (Referee);Frosinone (3-4-3);Torino (3-5-2);52%;48%;73%;69%;45%;19%;100%;100%;13;17;3;8;5;22;591;537;14;18;9;12;24;25;27;12;0;3;10;6;22;17;66;80
SerieA;23_24;15;Monza;Genoa;1;0;2023-12-10;15:00;Giuseppe Collu (Referee);Monza (4-2-3-1);Genoa (3-5-2);51%;49%;82%;78%;50%;6%;100%;66%;11;13;2;3;7;17;578;550;12;16;8;7;9;16;20;5;2;0;9;3;15;25;55;56
SerieA;23_24;15;Salernitana;Bologna;1;2;2023-12-10;18:00;Simone Sozza (Referee);Salernitana (3-5-2);Bologna (4-2-3-1);35%;65%;76%;88%;22%;50%;60%;50%;20;15;5;1;26;6;470;817;27;12;6;5;15;11;8;23;0;2;8;5;12;20;56;56
SerieA;23_24;15;Roma;Fiorentina;1;1;2023-12-10;20:45;Antonio Rapuano (Referee);Roma (3-5-2);Fiorentina (4-2-3-1);35%;65%;74%;87%;25%;57%;87%;0%;14;14;1;6;6;28;433;734;18;10;9;3;13;15;33;8;1;0;8;3;12;14;73;74
SerieA;23_24;15;Empoli;Lecce;1;1;2023-12-11;18:30;Andrea Colombo (Referee);Empoli (4-3-3);Lecce (4-2-3-1);56%;44%;77%;74%;33%;36%;80%;100%;14;18;8;3;28;16;574;492;11;8;5;7;15;17;12;19;3;2;6;9;30;14;81;79
SerieA;23_24;15;Cagliari;Sassuolo;2;1;2023-12-11;20:45;Maurizio Mariani (Referee);Cagliari (4-4-1-1);Sassuolo (4-2-3-1);60%;40%;76%;68%;28%;50%;75%;60%;15;15;10;4;56;13;563;419;15;12;3;5;19;14;10;38;2;2;7;18;36;17;84;81
SerieA;23_24;16;Genoa;Juventus;1;1;2023-12-15;20:45;Davide Massa (Referee);Genoa (5-3-2);Juventus (3-5-2);43%;57%;74%;80%;27%;30%;100%;66%;14;12;6;8;18;23;457;562;15;8;6;6;12;10;23;19;0;3;9;9;19;22;63;84
SerieA;23_24;16;Lecce;Frosinone;2;1;2023-12-16;15:00;Luca Zufferli (Referee);Lecce (4-3-3);Frosinone (4-3-3);40%;60%;68%;78%;35%;40%;100%;66%;8;14;5;4;19;11;466;625;22;19;15;9;13;18;13;22;6;0;8;13;15;24;82;54
SerieA;23_24;16;Napoli;Cagliari;2;1;2023-12-16;18:00;Matteo Marcenaro (Referee);Napoli (4-3-3);Cagliari (4-4-2);67%;33%;83%;60%;24%;33%;66%;60%;9;10;5;3;22;14;726;403;17;22;6;3;20;17;19;30;5;1;5;14;20;17;73;86
SerieA;23_24;16;Torino;Empoli;1;0;2023-12-16;20:45;Livio Marinelli (Referee);Torino (3-4-1-2);Empoli (4-3-1-2);53%;47%;78%;78%;30%;29%;100%;66%;15;10;6;4;25;13;587;553;12;15;8;8;22;25;15;25;2;2;4;4;26;12;74;60
SerieA;23_24;16;Milan;Monza;3;0;2023-12-17;12:30;Gianluca Aureliano (Referee);Milan (3-4-3);Monza (3-4-3);45%;55%;86%;89%;53%;19%;100%;66%;8;8;4;5;7;20;538;641;15;21;5;9;12;10;16;5;3;0;11;8;8;5;45;29
SerieA;23_24;16;Fiorentina;Hellas Verona;1;0;2023-12-17;15:00;Maria Sole Ferrieri Caputi (Referee);Fiorentina (4-2-3-1);Hellas Verona (4-2-3-1);65%;35%;75%;58%;60%;33%;100%;66%;12;12;1;6;16;13;616;399;18;16;4;14;15;30;11;24;2;5;7;12;26;18;100;75
SerieA;23_24;16;Udinese;Sassuolo;2;2;2023-12-17;15:00;Gianluca Manganiello (Referee);Udinese (3-5-2);Sassuolo (4-2-3-1);33%;67%;69%;78%;78%;26%;100%;71%;13;6;1;13;10;48;430;663;14;9;15;5;18;6;58;10;1;0;8;2;10;37;70;74
SerieA;23_24;16;Bologna;Roma;2;0;2023-12-17;18:00;Marco Guida (Referee);Bologna (4-2-3-1);Roma (3-5-2);55%;45%;87%;81%;25%;38%;100%;50%;16;16;0;4;5;15;672;550;18;18;6;5;14;13;23;9;4;3;2;7;9;19;44;47
SerieA;23_24;16;Lazio;Internazionale;0;2;2023-12-17;20:45;Fabio Maresca (Referee);Lazio (4-3-3);Inter (3-5-2);48%;52%;83%;86%;31%;33%;50%;100%;13;15;8;7;34;15;636;687;13;9;7;9;5;12;19;31;1;0;7;4;15;16;56;57
SerieA;23_24;16;Atalanta;Salernitana;4;1;2023-12-18;20:45;Ermanno Feliciani (Referee);Atalanta (3-4-1-2);Salernitana (4-3-2-1);51%;49%;79%;76%;55%;30%;66%;63%;9;11;10;7;26;14;647;628;8;20;6;9;28;10;17;27;1;3;3;7;22;25;64;73
SerieA;23_24;17;Sassuolo;Genoa;1;2;2023-12-22;18:30;Marco Guida (Referee);Sassuolo (4-2-3-1);Genoa (3-4-1-2);43%;57%;80%;83%;25%;31%;75%;66%;11;9;3;6;15;25;518;632;13;20;3;7;12;15;29;18;2;1;12;8;14;19;61;65
SerieA;23_24;17;Empoli;Lazio;0;2;2023-12-22;18:30;Matteo Marchetti (Referee);Empoli (4-3-3);Lazio (4-3-3);54%;46%;77%;75%;33%;50%;71%;100%;6;17;8;9;24;19;604;554;15;28;8;6;13;9;17;34;1;3;4;8;25;21;63;64
SerieA;23_24;17;Monza;Fiorentina;0;1;2023-12-22;20:45;Juan Sacchi (Referee);Monza (5-3-2);Fiorentina (4-2-3-1);52%;48%;81%;78%;29%;29%;75%;100%;12;16;1;4;12;16;625;557;15;10;9;4;11;24;16;15;0;0;9;5;18;25;82;88
SerieA;23_24;17;Salernitana;Milan;2;2;2023-12-22;20:45;Daniele Doveri (Referee);Salernitana (4-2-3-1);Milan (4-2-3-1);35%;65%;75%;85%;37%;38%;75%;71%;16;11;6;6;15;29;412;654;10;14;3;3;11;19;33;12;2;2;10;7;16;13;54;44
SerieA;23_24;17;Frosinone;Juventus;1;2;2023-12-23;12:30;Maurizio Mariani (Referee);Frosinone (3-4-3);Juventus (3-5-2);56%;44%;82%;75%;30%;23%;33%;66%;6;12;8;8;18;24;622;511;13;29;6;3;12;15;23;18;1;5;8;8;23;26;53;73
SerieA;23_24;17;Torino;Udinese;1;1;2023-12-23;15:00;Michael Fabbri (Referee);Torino (3-4-3);Udinese (3-5-2);62%;38%;82%;71%;29%;40%;75%;75%;10;11;8;2;31;11;653;455;13;23;6;11;13;11;10;30;3;1;5;10;24;11;49;57
SerieA;23_24;17;Bologna;Atalanta;1;0;2023-12-23;15:00;Antonio Rapuano (Referee);Bologna (4-2-3-1);Atalanta (3-4-1-2);60%;40%;81%;77%;11%;17%;100%;0%;10;14;3;5;10;16;749;557;17;18;7;13;11;17;15;17;0;1;12;12;26;19;78;52
SerieA;23_24;17;Internazionale;Lecce;2;0;2023-12-23;18:00;Matteo Marcenaro (Referee);Inter (3-5-2);Lecce (4-3-3);68%;32%;86%;79%;40%;45%;100%;75%;8;14;16;2;38;17;732;433;12;21;4;9;16;12;8;36;0;0;8;12;16;13;55;49
SerieA;23_24;17;Hellas Verona;Cagliari;2;0;2023-12-23;18:00;Daniele Orsato (Referee);Hellas Verona (4-2-3-1);Cagliari (3-4-1-2);57%;43%;80%;74%;38%;25%;100%;60%;9;19;11;7;31;19;623;479;15;14;4;1;30;17;24;25;1;1;9;10;10;26;73;91
SerieA;23_24;17;Roma;Napoli;2;0;2023-12-23;20:45;Andrea Colombo (Referee);Roma (3-5-2);Napoli (4-3-3);41%;59%;77%;85%;24%;29%;100%;50%;19;12;4;0;17;14;455;637;11;10;4;10;13;8;16;26;2;1;4;10;16;25;48;60
SerieA;23_24;18;Napoli;Monza;0;0;2023-12-29;18:30;Marco Di Bello (Referee);Napoli (4-3-3);Monza (3-4-3);58%;42%;86%;81%;36%;29%;100%;100%;10;21;10;1;26;8;645;502;9;20;7;9;12;9;8;27;0;2;3;11;21;13;50;54
SerieA;23_24;18;Fiorentina;Torino;1;0;2023-12-29;18:30;Federico La Penna (Referee);Fiorentina (4-2-3-1);Torino (3-4-3);52%;48%;75%;72%;25%;50%;100%;66%;11;15;4;2;22;22;492;464;6;13;6;13;29;20;18;27;2;2;3;7;21;17;92;73
SerieA;23_24;18;Lazio;Frosinone;3;1;2023-12-29;20:45;Ermanno Feliciani (Referee);Lazio (4-3-3);Frosinone (3-4-3);54%;46%;80%;77%;38%;10%;100%;40%;18;15;6;2;17;9;615;544;18;18;11;4;19;11;15;24;2;0;5;3;26;25;73;72
SerieA;23_24;18;Genoa;Internazionale;1;1;2023-12-29;20:45;Daniele Doveri (Referee);Genoa (3-5-2);Inter (3-5-2);48%;52%;76%;83%;31%;38%;83%;75%;13;15;8;2;27;16;512;570;10;10;5;3;13;12;13;29;0;0;11;5;16;16;69;56
SerieA;23_24;18;Atalanta;Lecce;1;0;2023-12-30;12:30;Gianluca Manganiello (Referee);Atalanta (3-4-1-2);Lecce (4-3-3);62%;38%;79%;69%;18%;13%;100%;66%;10;16;5;6;23;20;717;488;17;20;15;14;24;12;18;32;2;3;12;11;21;18;79;83
SerieA;23_24;18;Udinese;Bologna;3;0;2023-12-30;15:00;Daniele Orsato (Referee);Udinese (3-5-1-1);Bologna (4-2-3-1);27%;73%;69%;86%;47%;36%;100%;57%;15;14;7;7;17;16;353;702;16;21;14;2;8;11;22;13;1;0;5;9;14;19;41;49
SerieA;23_24;18;Cagliari;Empoli;0;0;2023-12-30;15:00;Fabio Maresca (Referee);Cagliari (4-1-2-1-2);Empoli (4-3-1-2);50%;50%;66%;69%;15%;20%;100%;100%;18;18;8;6;38;16;500;505;15;21;9;7;31;25;20;36;3;3;6;9;25;16;106;95
