player;shirtnumber;nationality;position;age;minutes;goals;assists;pens_made;pens_att;shots;shots_on_target;cards_yellow;cards_red;touches;tackles;interceptions;blocks;xg;npxg;xg_assist;sca;gca;passes_completed;passes;passes_pct;progressive_passes;carries;progressive_carries;take_ons;take_ons_won;passes_total_distance;passes_progressive_distance;passes_completed_short;passes_short;passes_pct_short;passes_completed_medium;passes_medium;passes_pct_medium;passes_completed_long;passes_long;passes_pct_long;pass_xa;assisted_shots;passes_into_final_third;passes_into_penalty_area;crosses_into_penalty_area;passes_live;passes_dead;passes_free_kicks;through_balls;passes_switches;crosses;throw_ins;corner_kicks;corner_kicks_in;corner_kicks_out;corner_kicks_straight;passes_offsides;passes_blocked;tackles_won;tackles_def_3rd;tackles_mid_3rd;tackles_att_3rd;challenge_tackles;challenges;challenge_tackles_pct;challenges_lost;blocked_shots;blocked_passes;tackles_interceptions;clearances;errors;touches_def_pen_area;touches_def_3rd;touches_mid_3rd;touches_att_3rd;touches_att_pen_area;touches_live_ball;take_ons_won_pct;take_ons_tackled;take_ons_tackled_pct;carries_distance;carries_progressive_distance;carries_into_final_third;carries_into_penalty_area;miscontrols;dispossessed;passes_received;progressive_passes_received;cards_yellow_red;fouls;fouled;offsides;pens_won;pens_conceded;own_goals;ball_recoveries;aerials_won;aerials_lost;aerials_won_pct
Miguel Almirón;24;py PAR;RW;29-183;85;0;0;0;0;1;1;0;0;39.0;2.0;1;1.0;0.1;0.1;0.3;4.0;0.0;31.0;32.0;96.9;2.0;34.0;4.0;2.0;0.0;440.0;93.0;22.0;23.0;95.7;8.0;8.0;100.0;1.0;1.0;100.0;0.1;2.0;3.0;1.0;0.0;32.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2;1.0;0.0;1.0;2.0;3.0;66.7;1.0;0.0;1.0;3.0;0.0;0.0;0.0;8.0;15.0;16.0;3.0;39.0;0.0;1.0;50.0;200.0;105.0;0.0;1.0;1.0;1.0;30.0;6.0;0;0;1;0;0.0;0.0;0;4.0;0.0;1.0;0.0
   Jacob Murphy;23;eng ENG;RW;28-169;5;0;1;0;0;0;0;0;0;8.0;0.0;0;0.0;0.0;0.0;0.6;3.0;2.0;5.0;5.0;100.0;3.0;5.0;1.0;2.0;2.0;105.0;72.0;1.0;1.0;100.0;4.0;4.0;100.0;0.0;0.0;;0.3;2.0;3.0;0.0;0.0;5.0;0.0;0.0;2.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;2.0;1.0;8.0;100.0;0.0;0.0;79.0;37.0;0.0;0.0;1.0;0.0;3.0;0.0;0;0;0;0;0.0;0.0;0;1.0;0.0;0.0;
Joelinton;7;br BRA;LM;26-363;90;0;0;0;0;1;0;0;0;48.0;4.0;0;0.0;0.1;0.1;0.0;4.0;1.0;36.0;40.0;90.0;4.0;31.0;1.0;0.0;0.0;483.0;124.0;22.0;25.0;88.0;13.0;13.0;100.0;0.0;0.0;;0.2;0.0;3.0;0.0;0.0;38.0;2.0;2.0;1.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3;1.0;3.0;0.0;0.0;0.0;;0.0;0.0;0.0;4.0;1.0;0.0;1.0;9.0;23.0;16.0;1.0;48.0;;0.0;;109.0;36.0;1.0;0.0;0.0;0.0;31.0;3.0;0;2;0;0;0.0;0.0;0;7.0;1.0;1.0;50.0
Bruno Guimarães;39;br BRA;CM;25-269;84;0;0;0;0;2;1;1;0;57.0;1.0;0;1.0;0.1;0.1;0.0;2.0;2.0;38.0;47.0;80.9;4.0;48.0;2.0;2.0;1.0;579.0;205.0;25.0;27.0;92.6;12.0;14.0;85.7;1.0;5.0;20.0;0.0;0.0;4.0;0.0;0.0;45.0;2.0;2.0;0.0;1.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1.0;0.0;0.0;1.0;2.0;50.0;1.0;1.0;0.0;1.0;0.0;0.0;3.0;14.0;32.0;12.0;3.0;57.0;50.0;1.0;50.0;260.0;106.0;1.0;1.0;2.0;2.0;47.0;1.0;0;1;3;0;0.0;0.0;0;8.0;0.0;0.0;
   Sean Longstaff;36;eng ENG;CM;25-286;6;0;0;0;0;0;0;0;0;3.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;50.0;0.0;1.0;0.0;0.0;0.0;8.0;2.0;1.0;1.0;100.0;0.0;1.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;3.0;;0.0;;11.0;9.0;0.0;0.0;0.0;0.0;1.0;0.0;0;0;0;0;0.0;0.0;0;1.0;0.0;1.0;0.0
Sandro Tonali;8;it ITA;RM;23-096;89;1;0;0;0;2;2;1;0;65.0;1.0;1;2.0;0.6;0.6;0.1;3.0;2.0;49.0;56.0;87.5;6.0;49.0;2.0;0.0;0.0;779.0;213.0;29.0;32.0;90.6;15.0;17.0;88.2;4.0;5.0;80.0;0.1;1.0;5.0;2.0;1.0;56.0;0.0;0.0;0.0;2.0;2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;2.0;2.0;0.0;0.0;0.0;13.0;37.0;15.0;2.0;65.0;;0.0;;159.0;59.0;2.0;0.0;2.0;0.0;52.0;2.0;0;2;1;0;0.0;0.0;0;5.0;1.0;0.0;100.0
   Elliot Anderson;32;sct SCO;RM;20-279;1;0;0;0;0;0;0;0;0;3.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;50.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;1.0;1.0;100.0;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;0.0;3.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0;0;0;0;0.0;0.0;0;0.0;0.0;0.0;
Dan Burn;33;eng ENG;LB;31-095;90;0;0;0;0;1;0;0;0;89.0;4.0;1;3.0;0.2;0.2;0.0;1.0;0.0;58.0;75.0;77.3;2.0;54.0;0.0;0.0;0.0;891.0;388.0;31.0;34.0;91.2;26.0;35.0;74.3;1.0;2.0;50.0;0.0;0.0;4.0;0.0;0.0;65.0;9.0;2.0;0.0;0.0;0;7.0;0.0;0.0;0.0;0.0;1.0;1.0;1;2.0;2.0;0.0;0.0;2.0;0.0;2.0;1.0;2.0;5.0;2.0;0.0;3.0;37.0;40.0;12.0;2.0;89.0;;0.0;;162.0;72.0;1.0;0.0;0.0;0.0;54.0;1.0;0;0;0;0;0.0;0.0;0;2.0;1.0;1.0;50.0
Sven Botman;4;nl NED;CB;23-212;90;0;1;0;0;1;0;1;0;76.0;2.0;1;1.0;0.1;0.1;0.4;1.0;1.0;63.0;68.0;92.6;1.0;55.0;0.0;0.0;0.0;1191.0;426.0;20.0;21.0;95.2;37.0;39.0;94.9;6.0;8.0;75.0;0.3;1.0;1.0;0.0;0.0;63.0;5.0;4.0;0.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;3.0;4.0;0.0;17.0;51.0;22.0;3.0;3.0;76.0;;0.0;;162.0;46.0;1.0;0.0;0.0;0.0;56.0;1.0;0;1;0;1;0.0;0.0;0;4.0;1.0;1.0;50.0
Fabian Schär;5;ch SUI;CB;31-235;90;0;0;0;0;0;0;0;0;57.0;0.0;2;1.0;0.0;0.0;0.0;0.0;0.0;43.0;49.0;87.8;0.0;43.0;0.0;0.0;0.0;853.0;278.0;11.0;11.0;100.0;27.0;28.0;96.4;4.0;9.0;44.4;0.0;0.0;1.0;0.0;0.0;47.0;2.0;2.0;1.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;1.0;2.0;5.0;0.0;9.0;32.0;25.0;0.0;0.0;57.0;;0.0;;155.0;76.0;0.0;0.0;0.0;0.0;43.0;0.0;0;0;0;0;0.0;0.0;0;3.0;1.0;0.0;100.0
