player;shirtnumber;nationality;position;age;minutes;goals;assists;pens_made;pens_att;shots;shots_on_target;cards_yellow;cards_red;touches;tackles;interceptions;blocks;xg;npxg;xg_assist;sca;gca;passes_completed;passes;passes_pct;progressive_passes;carries;progressive_carries;take_ons;take_ons_won;passes_total_distance;passes_progressive_distance;passes_completed_short;passes_short;passes_pct_short;passes_completed_medium;passes_medium;passes_pct_medium;passes_completed_long;passes_long;passes_pct_long;pass_xa;assisted_shots;passes_into_final_third;passes_into_penalty_area;crosses_into_penalty_area;passes_live;passes_dead;passes_free_kicks;through_balls;passes_switches;crosses;throw_ins;corner_kicks;corner_kicks_in;corner_kicks_out;corner_kicks_straight;passes_offsides;passes_blocked;tackles_won;tackles_def_3rd;tackles_mid_3rd;tackles_att_3rd;challenge_tackles;challenges;challenge_tackles_pct;challenges_lost;blocked_shots;blocked_passes;tackles_interceptions;clearances;errors;touches_def_pen_area;touches_def_3rd;touches_mid_3rd;touches_att_3rd;touches_att_pen_area;touches_live_ball;take_ons_won_pct;take_ons_tackled;take_ons_tackled_pct;carries_distance;carries_progressive_distance;carries_into_final_third;carries_into_penalty_area;miscontrols;dispossessed;passes_received;progressive_passes_received;cards_yellow_red;fouls;fouled;offsides;pens_won;pens_conceded;own_goals;ball_recoveries;aerials_won;aerials_lost;aerials_won_pct
Zeki Amdouni;25;ch SUI;FW;22-250;60;0;0;0;0;1;1;0;0;23.0;1.0;0;0.0;0.0;0.0;0.0;1.0;0.0;10.0;11.0;90.9;0.0;11.0;1.0;4.0;2.0;142.0;48.0;6.0;7.0;85.7;1.0;1.0;100.0;2.0;2.0;100.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;1.0;1.0;1.0;100.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;3.0;9.0;11.0;3.0;23.0;50.0;2.0;50.0;63.0;17.0;0.0;1.0;3.0;1.0;15.0;3.0;0;0;2;0;0.0;0.0;0;4.0;1.0;2.0;33.3
   Anass Zaroury;19;ma MAR;FW;22-277;29;0;0;0;0;1;0;0;1;13.0;0.0;0;0.0;0.0;0.0;0.0;1.0;0.0;10.0;12.0;83.3;0.0;6.0;0.0;0.0;0.0;203.0;52.0;4.0;4.0;100.0;3.0;3.0;100.0;3.0;5.0;60.0;0.1;1.0;0.0;0.0;0.0;7.0;5.0;0.0;0.0;0.0;4;0.0;4.0;2.0;2.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;7.0;0.0;13.0;;0.0;;13.0;4.0;0.0;0.0;0.0;0.0;7.0;1.0;0;1;1;0;0.0;0.0;0;1.0;0.0;0.0;
Lyle Foster;17;za RSA;LM;22-342;89;0;0;0;0;2;0;0;0;37.0;2.0;0;2.0;0.1;0.1;0.0;3.0;0.0;14.0;20.0;70.0;2.0;14.0;2.0;3.0;1.0;247.0;43.0;5.0;7.0;71.4;7.0;8.0;87.5;1.0;2.0;50.0;0.0;1.0;1.0;1.0;0.0;16.0;4.0;1.0;0.0;1.0;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1;1.0;1.0;0.0;0.0;0.0;;0.0;0.0;2.0;2.0;2.0;0.0;3.0;5.0;23.0;10.0;4.0;37.0;33.3;2.0;66.7;103.0;51.0;1.0;1.0;3.0;2.0;18.0;3.0;0;1;0;0;0.0;0.0;0;5.0;2.0;3.0;40.0
   Nathan Redmond;15;eng ENG;LM;29-158;1;0;0;0;0;0;0;0;0;2.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;50.0;0.0;2.0;0.0;0.0;0.0;31.0;0.0;0.0;0.0;;0.0;0.0;;1.0;2.0;50.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;;0.0;;10.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0.0;0.0;0;0.0;0.0;0.0;
Josh Cullen;24;ie IRL;CM;27-126;90;0;0;0;0;0;0;0;0;46.0;1.0;0;1.0;0.0;0.0;0.0;0.0;0.0;37.0;43.0;86.0;2.0;16.0;0.0;0.0;0.0;659.0;112.0;17.0;18.0;94.4;18.0;19.0;94.7;1.0;3.0;33.3;0.0;0.0;1.0;0.0;0.0;41.0;2.0;1.0;0.0;0.0;2;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;3.0;21.0;19.0;6.0;0.0;46.0;;0.0;;48.0;18.0;0.0;0.0;0.0;0.0;30.0;1.0;0;0;2;0;0.0;0.0;0;5.0;0.0;0.0;
Sander Berge;16;no NOR;CM;25-178;89;0;0;0;0;0;0;0;0;33.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0;23.0;28.0;82.1;1.0;12.0;0.0;0.0;0.0;413.0;57.0;12.0;13.0;92.3;8.0;10.0;80.0;3.0;4.0;75.0;0.0;0.0;1.0;0.0;0.0;27.0;1.0;1.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;12.0;18.0;3.0;1.0;33.0;;0.0;;35.0;17.0;0.0;0.0;1.0;0.0;24.0;1.0;0;2;0;0;0.0;0.0;0;3.0;2.0;0.0;100.0
   Josh Brownhill;8;eng ENG;CM;27-235;1;0;0;0;0;0;0;0;0;2.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;100.0;0.0;0.0;0.0;0.0;0.0;43.0;0.0;0.0;0.0;;2.0;2.0;100.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;2.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0;0;0;0;0.0;0.0;0;0.0;0.0;0.0;
Luca Koleosho;30;it ITA;RM;18-330;60;0;0;0;0;1;0;0;0;23.0;0.0;0;0.0;0.1;0.1;0.1;2.0;0.0;8.0;14.0;57.1;0.0;18.0;1.0;2.0;0.0;71.0;8.0;6.0;6.0;100.0;1.0;6.0;16.7;0.0;0.0;;0.0;2.0;0.0;0.0;0.0;13.0;1.0;0.0;0.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;11.0;11.0;2.0;23.0;0.0;2.0;100.0;90.0;26.0;2.0;0.0;3.0;1.0;16.0;1.0;0;1;0;0;0.0;0.0;0;5.0;0.0;1.0;0.0
   Jacob Bruun Larsen;34;dk DEN;RM;24-326;30;0;0;0;0;1;0;0;0;9.0;0.0;0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;6.0;66.7;2.0;4.0;3.0;0.0;0.0;55.0;21.0;2.0;3.0;66.7;2.0;2.0;100.0;0.0;0.0;;0.0;0.0;0.0;2.0;0.0;5.0;1.0;0.0;0.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;7.0;2.0;9.0;;0.0;;53.0;37.0;1.0;1.0;1.0;0.0;6.0;3.0;0;2;0;0;0.0;0.0;0;0.0;2.0;0.0;100.0
Vitinho;22;br BRA;LB;24-019;90;0;0;0;0;0;0;0;0;31.0;0.0;1;2.0;0.0;0.0;0.1;2.0;0.0;20.0;25.0;80.0;0.0;14.0;1.0;1.0;0.0;245.0;40.0;16.0;16.0;100.0;4.0;5.0;80.0;0.0;0.0;;0.0;1.0;0.0;0.0;0.0;21.0;4.0;1.0;0.0;0.0;0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;1.0;1.0;1.0;0.0;1.0;11.0;15.0;5.0;1.0;31.0;0.0;1.0;100.0;78.0;29.0;0.0;0.0;0.0;0.0;17.0;2.0;0;1;1;0;0.0;0.0;0;2.0;0.0;0.0;
Jordan Beyer;5;de GER;CB;23-084;73;0;0;0;0;0;0;0;0;49.0;4.0;4;2.0;0.0;0.0;0.0;0.0;0.0;28.0;35.0;80.0;0.0;21.0;0.0;1.0;0.0;545.0;186.0;10.0;11.0;90.9;17.0;18.0;94.4;1.0;6.0;16.7;0.0;0.0;1.0;0.0;0.0;35.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4;3.0;1.0;0.0;1.0;1.0;100.0;0.0;0.0;2.0;8.0;4.0;0.0;13.0;35.0;14.0;0.0;0.0;49.0;0.0;1.0;100.0;103.0;39.0;0.0;0.0;0.0;0.0;31.0;0.0;0;1;0;0;0.0;0.0;0;2.0;1.0;0.0;100.0
   Benson Manuel;10;be BEL;FW;26-136;17;0;0;0;0;0;0;0;0;9.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;5.0;80.0;0.0;7.0;1.0;4.0;0.0;43.0;10.0;2.0;2.0;100.0;1.0;1.0;100.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;4.0;1.0;0.0;0.0;0.0;1;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;7.0;0.0;9.0;0.0;4.0;100.0;74.0;24.0;2.0;0.0;0.0;0.0;8.0;3.0;0;0;0;0;0.0;0.0;0;0.0;0.0;2.0;0.0
Dara O'Shea;2;ie IRL;CB;24-160;90;0;0;0;0;0;0;0;0;62.0;0.0;1;2.0;0.0;0.0;0.0;0.0;0.0;42.0;56.0;75.0;3.0;27.0;0.0;0.0;0.0;857.0;307.0;12.0;17.0;70.6;24.0;25.0;96.0;6.0;12.0;50.0;0.0;0.0;2.0;0.0;0.0;54.0;2.0;2.0;0.0;1.0;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;0.0;0.0;0.0;0.0;0.0;;0.0;2.0;0.0;1.0;1.0;0.0;15.0;43.0;18.0;1.0;0.0;62.0;;0.0;;130.0;34.0;0.0;0.0;1.0;0.0;42.0;0.0;0;0;1;0;0.0;0.0;0;6.0;2.0;2.0;50.0
Ameen Al-Dakhil;28;be BEL;CB;21-158;90;0;0;0;0;0;0;0;0;51.0;2.0;1;2.0;0.0;0.0;0.0;0.0;0.0;32.0;38.0;84.2;3.0;24.0;1.0;0.0;0.0;690.0;258.0;11.0;13.0;84.6;15.0;18.0;83.3;6.0;7.0;85.7;0.0;0.0;3.0;0.0;0.0;36.0;2.0;0.0;0.0;1.0;0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;3.0;4.0;0.0;6.0;24.0;22.0;5.0;1.0;51.0;;0.0;;159.0;94.0;2.0;0.0;0.0;1.0;30.0;0.0;0;1;1;0;0.0;0.0;0;4.0;2.0;3.0;40.0
Connor Roberts;14;wls WAL;RB;27-322;90;0;0;0;0;0;0;0;0;51.0;2.0;0;0.0;0.0;0.0;0.0;0.0;0.0;39.0;46.0;84.8;4.0;17.0;0.0;0.0;0.0;728.0;215.0;14.0;15.0;93.3;20.0;22.0;90.9;5.0;8.0;62.5;0.0;0.0;3.0;0.0;0.0;38.0;8.0;0.0;0.0;0.0;0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;2.0;0.0;1.0;1.0;100.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;13.0;30.0;8.0;0.0;51.0;;0.0;;73.0;43.0;1.0;0.0;1.0;0.0;33.0;0.0;0;1;0;0;0.0;0.0;0;3.0;1.0;0.0;100.0
James Trafford;1;eng ENG;GK;20-305;90;0;0;0;0;0;0;0;0;55.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;39.0;52.0;75.0;1.0;32.0;0.0;0.0;0.0;835.0;553.0;16.0;16.0;100.0;11.0;11.0;100.0;11.0;23.0;47.8;0.0;0.0;2.0;0.0;0.0;44.0;8.0;3.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;1.0;0.0;40.0;52.0;3.0;0.0;0.0;55.0;;0.0;;149.0;73.0;0.0;0.0;0.0;0.0;32.0;0.0;0;0;0;0;0.0;0.0;0;5.0;0.0;0.0;
Erling Haaland;9;no NOR;FW;23-021;79;2;0;0;0;4;2;0;0;18.0;0.0;0;0.0;0.6;0.6;0.3;3.0;0.0;9.0;11.0;81.8;1.0;15.0;1.0;0.0;0.0;98.0;24.0;6.0;6.0;100.0;2.0;2.0;100.0;0.0;1.0;0.0;0.1;2.0;0.0;1.0;0.0;11.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;1.0;0.0;1.0;3.0;4.0;11.0;5.0;18.0;;0.0;;59.0;34.0;2.0;0.0;1.0;2.0;16.0;3.0;0;1;2;0;0.0;0.0;0;3.0;1.0;2.0;33.3
   Cole Palmer;80;eng ENG;LM;21-097;11;0;0;0;0;0;0;0;0;6.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;5.0;80.0;0.0;6.0;0.0;0.0;0.0;51.0;0.0;2.0;2.0;100.0;2.0;3.0;66.7;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;2.0;0.0;6.0;;0.0;;35.0;4.0;0.0;0.0;1.0;0.0;6.0;0.0;0;1;0;0;0.0;0.0;0;0.0;0.0;0.0;
Phil Foden;47;eng ENG;RM,LW;23-075;90;0;0;0;0;3;1;0;0;58.0;0.0;1;1.0;0.3;0.3;0.1;4.0;0.0;37.0;48.0;77.1;5.0;43.0;1.0;2.0;1.0;493.0;102.0;20.0;22.0;90.9;13.0;14.0;92.9;0.0;5.0;0.0;0.1;2.0;0.0;2.0;0.0;44.0;4.0;2.0;2.0;0.0;3;0.0;2.0;0.0;2.0;0.0;0.0;3.0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;26.0;31.0;5.0;58.0;50.0;1.0;50.0;196.0;79.0;4.0;0.0;2.0;3.0;47.0;4.0;0;0;1;0;0.0;0.0;0;2.0;0.0;2.0;0.0
Bernardo Silva;20;pt POR;CM,RW;29-001;90;0;0;0;0;0;0;0;0;75.0;1.0;0;0.0;0.0;0.0;0.0;0.0;0.0;61.0;70.0;87.1;3.0;58.0;2.0;1.0;0.0;830.0;149.0;40.0;42.0;95.2;13.0;19.0;68.4;5.0;5.0;100.0;0.0;0.0;6.0;0.0;0.0;67.0;3.0;2.0;1.0;0.0;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;100.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;10.0;50.0;15.0;0.0;75.0;0.0;1.0;100.0;327.0;119.0;1.0;0.0;0.0;0.0;59.0;3.0;0;0;0;0;0.0;0.0;0;4.0;0.0;1.0;0.0
Julián Álvarez;19;ar ARG;LM,AM,FW;23-192;90;0;1;0;0;3;1;0;0;53.0;1.0;0;1.0;0.3;0.3;0.3;6.0;1.0;36.0;44.0;81.8;2.0;25.0;2.0;0.0;0.0;490.0;113.0;22.0;25.0;88.0;7.0;9.0;77.8;3.0;5.0;60.0;0.4;6.0;0.0;2.0;0.0;38.0;6.0;3.0;2.0;0.0;5;1.0;2.0;0.0;2.0;0.0;0.0;0.0;1;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;22.0;29.0;4.0;53.0;;0.0;;104.0;50.0;2.0;1.0;2.0;1.0;40.0;6.0;0;1;1;0;0.0;0.0;0;2.0;1.0;3.0;25.0
Rodri;16;es ESP;DM,CB;27-050;90;1;1;0;0;4;3;0;0;122.0;5.0;0;0.0;0.5;0.5;0.2;5.0;1.0;107.0;110.0;97.3;4.0;84.0;1.0;0.0;0.0;1679.0;463.0;55.0;55.0;100.0;41.0;42.0;97.6;7.0;8.0;87.5;0.2;1.0;14.0;0.0;0.0;110.0;0.0;0.0;1.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3;2.0;2.0;1.0;2.0;2.0;100.0;0.0;0.0;0.0;5.0;0.0;1.0;3.0;27.0;84.0;11.0;4.0;122.0;;0.0;;327.0;173.0;1.0;1.0;1.0;1.0;97.0;1.0;0;2;0;1;0.0;0.0;0;8.0;1.0;0.0;100.0
Kevin De Bruyne;17;be BEL;DM;32-044;22;0;0;0;0;1;0;0;0;12.0;0.0;0;0.0;0.0;0.0;0.2;2.0;1.0;6.0;10.0;60.0;1.0;5.0;0.0;0.0;0.0;142.0;74.0;1.0;2.0;50.0;4.0;5.0;80.0;1.0;2.0;50.0;0.2;1.0;0.0;3.0;2.0;8.0;1.0;0.0;0.0;0.0;3;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;8.0;0.0;12.0;;0.0;;29.0;25.0;0.0;0.0;0.0;0.0;8.0;3.0;0;1;0;0;0.0;0.0;0;2.0;0.0;0.0;
   Mateo Kovačić;8;hr CRO;CM;29-097;68;0;0;0;0;0;0;0;0;72.0;2.0;0;3.0;0.0;0.0;0.2;2.0;0.0;61.0;64.0;95.3;4.0;50.0;1.0;3.0;1.0;888.0;167.0;39.0;39.0;100.0;17.0;18.0;94.4;3.0;4.0;75.0;0.2;1.0;3.0;1.0;0.0;64.0;0.0;0.0;1.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2;1.0;0.0;1.0;2.0;2.0;100.0;0.0;0.0;3.0;2.0;0.0;0.0;3.0;11.0;51.0;10.0;0.0;72.0;33.3;0.0;0.0;333.0;140.0;2.0;0.0;0.0;1.0;63.0;2.0;0;1;2;0;0.0;0.0;0;1.0;0.0;1.0;0.0
Rico Lewis;82;eng ENG;LB;18-263;78;0;0;0;0;0;0;0;0;47.0;0.0;1;0.0;0.0;0.0;0.0;1.0;0.0;36.0;42.0;85.7;3.0;30.0;1.0;1.0;1.0;552.0;65.0;22.0;25.0;88.0;12.0;12.0;100.0;2.0;4.0;50.0;0.0;0.0;2.0;0.0;0.0;39.0;3.0;0.0;0.0;0.0;0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;0.0;0.0;2.0;14.0;22.0;12.0;0.0;47.0;100.0;0.0;0.0;146.0;65.0;1.0;0.0;0.0;1.0;28.0;1.0;0;0;1;0;0.0;0.0;0;9.0;0.0;2.0;0.0
   Joško Gvardiol;24;hr CRO;LB;21-200;12;0;0;0;0;0;0;0;0;13.0;2.0;0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;7.0;71.4;0.0;4.0;0.0;0.0;0.0;54.0;16.0;3.0;3.0;100.0;1.0;2.0;50.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2;1.0;1.0;0.0;2.0;2.0;100.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;3.0;8.0;2.0;1.0;13.0;;0.0;;10.0;5.0;0.0;0.0;1.0;0.0;4.0;1.0;0;0;0;0;0.0;0.0;0;2.0;2.0;0.0;100.0
Nathan Aké;6;nl NED;CB;28-174;78;0;0;0;0;1;0;0;0;79.0;3.0;2;0.0;0.3;0.3;0.0;2.0;1.0;65.0;69.0;94.2;1.0;53.0;1.0;0.0;0.0;1085.0;222.0;29.0;30.0;96.7;29.0;31.0;93.5;5.0;6.0;83.3;0.0;0.0;3.0;0.0;0.0;68.0;1.0;0.0;0.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3;3.0;0.0;0.0;3.0;3.0;100.0;0.0;0.0;0.0;5.0;1.0;0.0;2.0;36.0;39.0;5.0;2.0;79.0;;0.0;;233.0;93.0;0.0;0.0;0.0;0.0;61.0;0.0;0;0;1;0;0.0;0.0;0;5.0;3.0;1.0;75.0
   Aymeric Laporte;14;es ESP;CB;29-076;12;0;0;0;0;1;1;0;0;14.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0;11.0;11.0;100.0;0.0;10.0;0.0;0.0;0.0;202.0;48.0;4.0;4.0;100.0;7.0;7.0;100.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;0.0;0.0;1.0;0.0;2.0;7.0;6.0;1.0;1.0;14.0;;0.0;;23.0;1.0;0.0;0.0;0.0;0.0;10.0;0.0;0;0;0;0;0.0;0.0;0;2.0;0.0;0.0;
Manuel Akanji;25;ch SUI;CB,RB;28-023;90;0;0;0;0;0;0;0;0;109.0;3.0;0;2.0;0.0;0.0;0.0;1.0;0.0;89.0;102.0;87.3;2.0;78.0;1.0;0.0;0.0;1375.0;382.0;41.0;42.0;97.6;41.0;48.0;85.4;3.0;6.0;50.0;0.0;0.0;4.0;0.0;0.0;100.0;2.0;2.0;0.0;0.0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1;1.0;2.0;0.0;2.0;4.0;50.0;2.0;1.0;1.0;3.0;2.0;0.0;10.0;57.0;49.0;3.0;0.0;109.0;;0.0;;488.0;250.0;0.0;0.0;0.0;0.0;90.0;1.0;0;0;0;0;0.0;0.0;0;2.0;4.0;1.0;80.0
Kyle Walker;2;eng ENG;RB;33-075;89;0;0;0;0;0;0;0;0;81.0;0.0;0;0.0;0.0;0.0;0.0;2.0;1.0;66.0;72.0;91.7;2.0;48.0;1.0;3.0;0.0;1198.0;179.0;22.0;23.0;95.7;36.0;37.0;97.3;6.0;9.0;66.7;0.0;1.0;3.0;0.0;0.0;64.0;8.0;0.0;0.0;0.0;0;8.0;0.0;0.0;0.0;0.0;0.0;1.0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;1.0;0.0;3.0;22.0;42.0;17.0;1.0;81.0;0.0;1.0;33.3;218.0;71.0;0.0;1.0;1.0;0.0;55.0;3.0;0;1;2;0;0.0;0.0;0;9.0;1.0;0.0;100.0
   James Mcatee;87;eng ENG;DM,RB;20-297;1;0;0;0;0;0;0;0;0;1.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0.0;0;0.0;0.0;0.0;
Ederson;31;br BRA;GK;29-359;90;0;0;0;0;0;0;0;0;75.0;0.0;0;0.0;0.0;0.0;0.0;1.0;0.0;62.0;75.0;82.7;0.0;49.0;0.0;0.0;0.0;1653.0;1190.0;19.0;19.0;100.0;27.0;28.0;96.4;16.0;28.0;57.1;0.0;0.0;7.0;1.0;0.0;67.0;8.0;1.0;0.0;1.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;47.0;74.0;1.0;0.0;0.0;75.0;;0.0;;196.0;131.0;0.0;0.0;0.0;0.0;48.0;0.0;0;0;1;0;0.0;0.0;0;3.0;0.0;0.0;
Eddie Nketiah;14;eng ENG;FW;24-074;73;1;0;0;0;3;1;0;0;26.0;1.0;0;1.0;0.2;0.2;0.0;1.0;0.0;16.0;16.0;100.0;0.0;14.0;0.0;3.0;0.0;203.0;5.0;12.0;12.0;100.0;4.0;4.0;100.0;0.0;0.0;;0.0;0.0;1.0;0.0;0.0;14.0;2.0;0.0;0.0;0.0;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1;0.0;1.0;0.0;0.0;0.0;;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;11.0;15.0;6.0;26.0;0.0;2.0;66.7;41.0;9.0;0.0;0.0;1.0;1.0;18.0;4.0;0;0;1;1;0.0;0.0;0;1.0;2.0;0.0;100.0
   Leandro Trossard;19;be BEL;LM,LW;28-251;17;0;0;0;0;0;0;0;0;12.0;1.0;0;1.0;0.0;0.0;0.0;3.0;0.0;7.0;10.0;70.0;1.0;5.0;1.0;1.0;1.0;93.0;22.0;3.0;4.0;75.0;4.0;5.0;80.0;0.0;0.0;;0.0;1.0;2.0;0.0;0.0;9.0;1.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1;0.0;1.0;0.0;0.0;0.0;;0.0;0.0;1.0;1.0;0.0;0.0;0.0;4.0;8.0;3.0;0.0;12.0;100.0;0.0;0.0;63.0;55.0;1.0;0.0;1.0;0.0;5.0;0.0;0;0;0;0;0.0;0.0;0;3.0;0.0;1.0;0.0
Gabriel Martinelli;11;br BRA;LW;22-055;85;0;1;0;0;0;0;0;0;47.0;1.0;0;1.0;0.0;0.0;0.2;3.0;1.0;31.0;33.0;93.9;3.0;35.0;3.0;4.0;2.0;556.0;124.0;13.0;14.0;92.9;15.0;16.0;93.8;3.0;3.0;100.0;0.2;3.0;0.0;1.0;0.0;31.0;2.0;0.0;0.0;0.0;2;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1;0.0;1.0;0.0;0.0;0.0;;0.0;0.0;1.0;1.0;0.0;0.0;0.0;4.0;16.0;27.0;4.0;47.0;50.0;2.0;50.0;197.0;91.0;3.0;2.0;1.0;4.0;32.0;9.0;0;2;2;0;0.0;0.0;0;8.0;1.0;5.0;16.7
   Gabriel Dos Santos;6;br BRA;CB;25-236;5;0;0;0;0;0;0;0;0;4.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0;66.7;0.0;2.0;0.0;0.0;0.0;33.0;6.0;1.0;1.0;100.0;1.0;1.0;100.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;1.0;0.0;0.0;4.0;;0.0;;2.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0;1;0;0;0.0;0.0;0;1.0;0.0;0.0;
